term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	True	dice	1,1,1,4	0.1898	0.0737	0.0364	0.0095	0.1000	0.1109	0.8005	0.4445
tf	False	True	overlap	1,1,1,1	0.1839	0.0856	0.0374	0.0080	0.1023	0.1130	0.7895	0.4341
tf	False	True	overlap	3,3,4,1	0.2135	0.0989	0.0473	0.0090	0.1199	0.1283	0.7838	0.4377
tf	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0939	0.7802	0.4098
tf	True	False	cosine	1,1,1,1	0.2155	0.0948	0.0549	0.0088	0.1217	0.1334	0.8160	0.4589
tf	True	False	cosine	3,3,4,1	0.2174	0.0858	0.0375	0.0080	0.1136	0.1295	0.8064	0.4457
tf	True	False	cosine	1,1,1,4	0.1730	0.0707	0.0372	0.0090	0.0936	0.1084	0.7915	0.4233
tf	True	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	False	dice	1,1,1,1	0.1669	0.0750	0.0284	0.0078	0.0901	0.0991	0.8037	0.4076
tf	True	False	dice	3,3,4,1	0.1694	0.0664	0.0247	0.0076	0.0868	0.0989	0.7976	0.4053
tf	True	False	dice	1,1,1,4	0.1581	0.0530	0.0251	0.0080	0.0787	0.0927	0.8030	0.4028
tf	True	False	overlap	1,1,1,1	0.1405	0.0643	0.0279	0.0082	0.0776	0.0934	0.7895	0.3955
tf	True	False	overlap	3,3,4,1	0.1615	0.0598	0.0296	0.0088	0.0836	0.0991	0.8005	0.4208
tf	True	False	overlap	1,1,1,4	0.1187	0.0474	0.0264	0.0081	0.0641	0.0809	0.7768	0.3695
tf	True	True	cosine	1,1,1,1	0.2648	0.1178	0.0541	0.0115	0.1456	0.1609	0.8520	0.5129
tf	True	True	cosine	3,3,4,1	0.2359	0.0966	0.0448	0.0098	0.1257	0.1496	0.8371	0.4953
tf	True	True	cosine	1,1,1,4	0.2332	0.1095	0.0559	0.0188	0.1329	0.1474	0.8348	0.4879
tf	True	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tf	True	True	dice	1,1,1,1	0.2347	0.1295	0.0537	0.0099	0.1393	0.1458	0.8406	0.4759
tf	True	True	dice	3,3,4,1	0.1985	0.0827	0.0312	0.0096	0.1041	0.1188	0.8271	0.4495
tf	True	True	dice	1,1,1,4	0.2238	0.1222	0.0590	0.0110	0.1350	0.1415	0.8454	0.4852
tf	True	True	overlap	1,1,1,1	0.1741	0.0807	0.0412	0.0106	0.0987	0.1145	0.8300	0.4642
tf	True	True	overlap	3,3,4,1	0.2030	0.0820	0.0429	0.0101	0.1093	0.1219	0.8251	0.4656
tf	True	True	overlap	1,1,1,4	0.1608	0.0727	0.0378	0.0102	0.0904	0.1053	0.8207	0.4412
tfidf	False	False	cosine	1,1,1,1	0.5528	0.3411	0.1685	0.0664	0.3541	0.3339	0.8905	0.6718
tfidf	False	False	cosine	3,3,4,1	0.5430	0.3423	0.1742	0.0541	0.3532	0.3325	0.8905	0.6681
tfidf	False	False	cosine	1,1,1,4	0.4540	0.2506	0.1339	0.0434	0.2795	0.2711	0.8824	0.6309
tfidf	False	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	False	dice	1,1,1,1	0.4254	0.2818	0.1689	0.0614	0.2920	0.2869	0.8872	0.6545
tfidf	False	False	dice	3,3,4,1	0.4102	0.2801	0.1392	0.0523	0.2765	0.2666	0.8871	0.6452
tfidf	False	False	dice	1,1,1,4	0.4155	0.2447	0.1502	0.0685	0.2701	0.2671	0.8796	0.6297
tfidf	False	False	overlap	1,1,1,1	0.4470	0.2961	0.1604	0.0433	0.3012	0.2875	0.8895	0.6451
tfidf	False	False	overlap	3,3,4,1	0.5018	0.2930	0.1743	0.0562	0.3230	0.3058	0.8898	0.6570
tfidf	False	False	overlap	1,1,1,4	0.3765	0.2435	0.1195	0.0195	0.2465	0.2426	0.8809	0.5998
tfidf	False	True	cosine	1,1,1,1	0.5609	0.3433	0.1790	0.0843	0.3611	0.3409	0.8888	0.6795
tfidf	False	True	cosine	3,3,4,1	0.5617	0.3587	0.1913	0.0681	0.3706	0.3476	0.8870	0.6743
tfidf	False	True	cosine	1,1,1,4	0.4824	0.2738	0.1413	0.0461	0.2992	0.2891	0.8798	0.6456
tfidf	False	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	False	True	dice	1,1,1,1	0.4497	0.3056	0.1754	0.0811	0.3103	0.3042	0.8856	0.6655
tfidf	False	True	dice	3,3,4,1	0.4415	0.2997	0.1575	0.0628	0.2996	0.2884	0.8821	0.6523
tfidf	False	True	dice	1,1,1,4	0.4770	0.2532	0.1457	0.0713	0.2920	0.2813	0.8818	0.6460
tfidf	False	True	overlap	1,1,1,1	0.4541	0.3073	0.1750	0.0613	0.3121	0.3010	0.8891	0.6594
tfidf	False	True	overlap	3,3,4,1	0.5138	0.3011	0.1868	0.0672	0.3339	0.3166	0.8867	0.6637
tfidf	False	True	overlap	1,1,1,4	0.4048	0.2679	0.1311	0.0263	0.2679	0.2599	0.8821	0.6244
tfidf	True	False	cosine	1,1,1,1	0.5719	0.3525	0.2074	0.0913	0.3772	0.3677	0.9331	0.7225
tfidf	True	False	cosine	3,3,4,1	0.5615	0.3601	0.2136	0.0776	0.3784	0.3622	0.9329	0.7237
tfidf	True	False	cosine	1,1,1,4	0.5127	0.2606	0.1567	0.0578	0.3100	0.3077	0.9245	0.6786
tfidf	True	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	False	dice	1,1,1,1	0.4785	0.2986	0.1917	0.0915	0.3229	0.3201	0.9305	0.7004
tfidf	True	False	dice	3,3,4,1	0.4930	0.3175	0.1826	0.0620	0.3310	0.3187	0.9292	0.6971
tfidf	True	False	dice	1,1,1,4	0.4372	0.2438	0.1552	0.0837	0.2787	0.2830	0.9208	0.6661
tfidf	True	False	overlap	1,1,1,1	0.4655	0.3187	0.1823	0.0589	0.3222	0.3118	0.9292	0.6896
tfidf	True	False	overlap	3,3,4,1	0.5121	0.3331	0.1909	0.0776	0.3454	0.3289	0.9329	0.7061
tfidf	True	False	overlap	1,1,1,4	0.3923	0.2449	0.1309	0.0299	0.2560	0.2517	0.9159	0.6370
tfidf	True	True	cosine	1,1,1,1	0.5918	0.3686	0.2232	0.1003	0.3945	0.3834	0.9348	0.7311
tfidf	True	True	cosine	3,3,4,1	0.5871	0.3863	0.2293	0.0913	0.4009	0.3815	0.9338	0.7307
tfidf	True	True	cosine	1,1,1,4	0.5170	0.2698	0.1624	0.0617	0.3164	0.3170	0.9270	0.6894
tfidf	True	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
tfidf	True	True	dice	1,1,1,1	0.5116	0.3300	0.2182	0.1126	0.3533	0.3473	0.9326	0.7146
tfidf	True	True	dice	3,3,4,1	0.5001	0.3374	0.2013	0.0791	0.3462	0.3322	0.9304	0.7050
tfidf	True	True	dice	1,1,1,4	0.4467	0.2509	0.1644	0.0868	0.2873	0.2887	0.9280	0.6806
tfidf	True	True	overlap	1,1,1,1	0.4842	0.3376	0.2066	0.0787	0.3428	0.3313	0.9334	0.7064
tfidf	True	True	overlap	3,3,4,1	0.5138	0.3439	0.2046	0.0872	0.3541	0.3376	0.9341	0.7130
tfidf	True	True	overlap	1,1,1,4	0.4273	0.2641	0.1449	0.0380	0.2787	0.2711	0.9233	0.6597
boolean	False	False	cosine	1,1,1,1	0.1627	0.0651	0.0291	0.0109	0.0856	0.0996	0.7816	0.4256
boolean	False	False	cosine	3,3,4,1	0.2694	0.1066	0.0458	0.0073	0.1406	0.1474	0.8029	0.4708
boolean	False	False	cosine	1,1,1,4	0.1401	0.0551	0.0288	0.0114	0.0747	0.0907	0.7702	0.4071
boolean	False	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	False	dice	1,1,1,1	0.1146	0.0422	0.0199	0.0064	0.0589	0.0757	0.7185	0.3396
boolean	False	False	dice	3,3,4,1	0.1193	0.0387	0.0218	0.0062	0.0599	0.0764	0.7221	0.3393
boolean	False	False	dice	1,1,1,4	0.1338	0.0472	0.0253	0.0093	0.0688	0.0922	0.7803	0.4086
boolean	False	False	overlap	1,1,1,1	0.2560	0.1061	0.0546	0.0096	0.1389	0.1480	0.7982	0.4715
boolean	False	False	overlap	3,3,4,1	0.3523	0.1276	0.0674	0.0082	0.1825	0.1828	0.8198	0.5158
boolean	False	False	overlap	1,1,1,4	0.2340	0.1046	0.0551	0.0104	0.1313	0.1383	0.7897	0.4523
boolean	False	True	cosine	1,1,1,1	0.1880	0.0841	0.0400	0.0093	0.1040	0.1203	0.7572	0.4307
boolean	False	True	cosine	3,3,4,1	0.3080	0.1695	0.0645	0.0088	0.1807	0.1870	0.8089	0.5088
boolean	False	True	cosine	1,1,1,4	0.1785	0.0789	0.0388	0.0099	0.0987	0.1141	0.7475	0.4147
boolean	False	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	False	True	dice	1,1,1,1	0.1401	0.0531	0.0281	0.0078	0.0738	0.0920	0.7162	0.3765
boolean	False	True	dice	3,3,4,1	0.1528	0.0568	0.0304	0.0074	0.0800	0.0949	0.7279	0.3848
boolean	False	True	dice	1,1,1,4	0.1843	0.0823	0.0455	0.0147	0.1040	0.1214	0.8280	0.4840
boolean	False	True	overlap	1,1,1,1	0.2711	0.1260	0.0568	0.0118	0.1513	0.1602	0.8102	0.4857
boolean	False	True	overlap	3,3,4,1	0.3894	0.2019	0.1163	0.0437	0.2358	0.2443	0.8474	0.5822
boolean	False	True	overlap	1,1,1,4	0.2346	0.1024	0.0578	0.0137	0.1316	0.1413	0.8004	0.4608
boolean	True	False	cosine	1,1,1,1	0.1809	0.0857	0.0354	0.0083	0.1007	0.1133	0.8197	0.4389
boolean	True	False	cosine	3,3,4,1	0.2852	0.1235	0.0634	0.0093	0.1574	0.1671	0.8512	0.5077
boolean	True	False	cosine	1,1,1,4	0.1758	0.0822	0.0355	0.0080	0.0978	0.1107	0.8096	0.4300
boolean	True	False	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	False	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	False	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	False	dice	1,1,1,1	0.1486	0.0633	0.0279	0.0069	0.0800	0.0928	0.7475	0.3524
boolean	True	False	dice	3,3,4,1	0.1463	0.0600	0.0223	0.0068	0.0762	0.0891	0.7644	0.3627
boolean	True	False	dice	1,1,1,4	0.1469	0.0512	0.0274	0.0114	0.0751	0.0967	0.8098	0.4186
boolean	True	False	overlap	1,1,1,1	0.2219	0.0861	0.0528	0.0094	0.1203	0.1381	0.8313	0.4828
boolean	True	False	overlap	3,3,4,1	0.3707	0.1270	0.0517	0.0122	0.1832	0.1921	0.8618	0.5462
boolean	True	False	overlap	1,1,1,4	0.2328	0.0819	0.0497	0.0093	0.1215	0.1330	0.8216	0.4650
boolean	True	True	cosine	1,1,1,1	0.2182	0.0982	0.0437	0.0076	0.1200	0.1318	0.8047	0.4491
boolean	True	True	cosine	3,3,4,1	0.3154	0.1550	0.0713	0.0112	0.1806	0.1909	0.8646	0.5441
boolean	True	True	cosine	1,1,1,4	0.2233	0.1035	0.0435	0.0077	0.1234	0.1362	0.7958	0.4426
boolean	True	True	jaccard	1,1,1,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	True	jaccard	3,3,4,1	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	True	jaccard	1,1,1,4	0.0780	0.0182	0.0115	0.0044	0.0359	0.0526	0.2796	0.1004
boolean	True	True	dice	1,1,1,1	0.1722	0.0700	0.0362	0.0073	0.0928	0.1085	0.7520	0.3855
boolean	True	True	dice	3,3,4,1	0.1676	0.0638	0.0346	0.0081	0.0887	0.1034	0.7767	0.4010
boolean	True	True	dice	1,1,1,4	0.2106	0.0849	0.0378	0.0106	0.1111	0.1270	0.8633	0.4865
boolean	True	True	overlap	1,1,1,1	0.2715	0.1120	0.0628	0.0103	0.1488	0.1643	0.8533	0.5119
boolean	True	True	overlap	3,3,4,1	0.4545	0.2153	0.1134	0.0469	0.2611	0.2601	0.8919	0.6110
boolean	True	True	overlap	1,1,1,4	0.2661	0.1013	0.0563	0.0102	0.1412	0.1540	0.8444	0.4897
